Student_ID,Department,Gender,Study_Hours_Per_Day,Attendance_Percent,Assignment_Score,Midterm_Score,Final_Exam_Score,Overall_Score,Grade,Result
STU1001,IT,Female,3.9,71.8,62.6,64.7,76.7,69.8,C,Pass
STU1002,Civil,Female,2.8,76.2,53.9,60.9,72.2,65.6,C,Pass
STU1003,ECE,Male,7.0,100.0,67.9,96.7,96.7,91.3,A,Pass
STU1004,ECE,Male,4.8,79.7,49.1,81.6,95.3,80.4,B,Pass
STU1005,CSE,Female,0.8,75.3,58.9,67.3,41.1,55.9,C,Pass
STU1006,CSE,Female,4.1,61.7,66.4,64.0,59.1,62.3,C,Pass
STU1007,CSE,Female,2.8,52.0,43.5,70.1,63.1,60.2,C,Pass
STU1008,ME,Female,5.1,79.9,55.0,79.9,92.7,80.0,B,Pass
STU1009,ECE,Female,2.6,71.8,54.0,64.6,79.2,69.0,C,Pass
STU1010,ECE,Female,3.6,72.7,83.0,76.5,67.1,73.7,B,Pass
STU1011,CSE,Male,4.6,57.3,64.9,65.1,84.5,72.0,B,Pass
STU1012,Civil,Female,5.1,79.6,52.5,84.6,82.9,77.0,B,Pass
STU1013,ME,Female,2.0,56.0,37.0,32.0,30.0,34.6,F,Fail
STU1014,CSE,Male,3.3,78.2,58.2,74.4,78.3,73.1,B,Pass
STU1015,CSE,Male,3.1,74.2,30.0,70.8,73.9,64.2,C,Pass
STU1016,CSE,Male,2.8,59.6,58.3,83.4,48.5,62.0,C,Pass
STU1017,IT,Male,6.4,81.9,74.2,84.7,100.0,88.4,A,Pass
STU1018,IT,Female,4.4,66.4,75.4,70.4,87.8,78.0,B,Pass
STU1019,IT,Female,1.9,63.9,76.7,54.2,51.7,58.7,C,Pass
STU1020,CSE,Female,5.2,90.6,84.5,79.9,89.9,85.9,A,Pass
STU1021,ECE,Female,7.0,80.1,76.8,87.9,100.0,89.7,A,Pass
STU1022,CSE,Female,5.3,86.5,58.2,93.6,88.5,83.8,B,Pass
STU1023,CSE,Female,1.5,57.2,83.4,66.8,48.1,61.7,C,Pass
STU1024,IT,Male,3.1,62.6,61.2,61.6,59.4,60.7,C,Pass
STU1025,IT,Female,5.7,82.4,73.7,79.0,87.8,81.8,B,Pass
STU1026,ME,Male,2.7,58.1,58.2,66.6,72.2,66.3,C,Pass
STU1027,CSE,Male,4.5,72.0,69.9,72.0,82.2,75.7,B,Pass
STU1028,IT,Female,5.0,68.0,68.3,83.7,76.6,76.2,B,Pass
STU1029,ECE,Male,2.4,86.6,50.1,68.3,72.8,68.3,C,Pass
STU1030,CSE,Female,3.7,73.9,56.9,59.9,46.5,55.3,C,Pass
STU1031,ECE,Male,0.5,51.0,34.0,30.0,28.0,32.1,F,Fail
STU1032,CSE,Female,2.3,68.6,50.0,76.9,45.5,58.1,C,Pass
STU1033,CSE,Male,3.4,70.9,53.4,64.7,66.1,63.6,C,Pass
STU1034,Civil,Female,1.9,54.0,39.0,33.0,30.0,35.1,F,Fail
STU1035,Civil,Female,6.2,92.1,72.9,92.9,82.0,84.5,B,Pass
STU1036,ME,Female,1.7,71.1,71.5,62.1,68.0,67.2,C,Pass
STU1037,IT,Female,3.1,65.2,30.0,71.9,61.8,58.8,C,Pass
STU1038,CSE,Female,4.0,69.2,78.1,88.9,76.3,79.7,B,Pass
STU1039,ECE,Male,6.0,82.2,90.0,86.0,89.7,87.9,A,Pass
STU1040,IT,Male,1.6,58.0,42.0,38.0,35.0,39.6,F,Fail
STU1041,CSE,Male,5.5,67.3,68.4,70.4,84.0,75.1,B,Pass
STU1042,IT,Female,3.8,87.7,59.5,69.5,64.3,67.2,C,Pass
STU1043,CSE,Male,2.3,82.9,39.6,65.1,73.3,65.1,C,Pass
STU1044,Civil,Female,4.5,75.0,58.2,91.4,73.6,76.0,B,Pass
STU1045,CSE,Female,4.1,81.3,52.2,71.7,62.6,65.1,C,Pass
STU1046,ECE,Male,2.9,72.6,80.5,68.7,62.4,68.9,C,Pass
STU1047,IT,Male,3.9,100.0,75.7,78.3,92.8,85.8,A,Pass
STU1048,IT,Female,3.2,82.2,76.3,80.1,78.1,78.8,B,Pass
STU1049,IT,Male,4.0,73.7,73.7,94.0,71.1,78.8,B,Pass
STU1050,CSE,Female,4.8,69.4,55.5,73.4,75.7,70.3,B,Pass
STU1051,Civil,Female,6.2,69.9,69.7,82.3,85.9,80.0,B,Pass
STU1052,ME,Female,1.9,66.5,60.4,68.1,76.6,69.8,C,Pass
